Rating,Year,User Count
9.2,1994,2062245
9.2,1972,1414760
9.0,1974,981444
9.0,2008,2028483
8.9,1957,581806
8.9,1993,1068236
8.9,2003,1468356
8.9,1994,1611964
8.8,1966,612021
8.8,1999,1650250
8.8,2001,1484913
8.7,1994,1579583
8.7,1980,1034991
8.7,2010,1807626
8.7,2002,1327811
8.7,1975,818366
8.7,1990,890144
8.6,1999,1481049
8.6,1954,278701
8.6,1995,1264174
8.6,2002,635154
8.6,1977,1104773
8.6,1991,1112018
8.6,1946,351063
8.6,1997,541975
8.5,2001,545829
8.5,1998,1090132
8.5,1995,893376
8.5,1994,907997
8.5,1999,994424
8.5,2014,1267561
8.5,1960,527752
8.5,1998,937761
8.5,2018,139815
8.5,1931,143394
8.5,1942,469120
8.5,1968,266849
8.5,1936,186169
8.5,2002,629763
8.5,2011,662071
8.5,2006,1058994
8.5,1985,917747
8.5,1991,893351
8.5,2014,600490
8.5,1954,392119
8.5,1994,818322
8.5,1981,799163
8.5,2000,1192380
8.5,2006,1047749
8.4,1979,539832
8.4,2000,1017369
8.4,1979,701818
8.4,1988,191226
8.4,1988,197187
8.4,1940,176790
8.4,1950,175753
8.4,2006,317598
8.4,1964,409163
8.4,1957,153100
8.4,2018,599339
8.4,1980,766649
8.4,2012,1189596
8.4,2008,890827
8.4,1997,288506
8.4,1957,89381
8.3,2003,450584
8.3,2012,1366242
8.3,1986,591872
8.3,1999,978036
8.3,1984,272323
8.3,2017,261277
8.3,1981,205938
8.3,1941,358419
8.3,1995,880590
8.3,1958,314813
8.3,1959,267506
8.3,1992,809322
8.3,1983,848281
8.3,2016,125810
8.3,1931,125047
8.3,1984,331638
8.3,2000,690557
8.3,2016,116798
8.3,2007,137411
8.3,2009,293501
8.3,1962,238093
8.3,1968,532930
8.3,2004,812645
8.3,1995,778026
8.3,1971,678245
8.3,2001,643363
8.3,1944,125118
8.3,1952,192818
8.3,1976,626017
8.3,2009,1100110
8.3,1987,599358
8.3,1948,124147
8.3,1962,267641
8.3,1921,94120
8.3,1973,216085
8.3,1997,754109
8.3,2010,669843
8.3,2012,236405
8.3,2000,709008
8.2,1983,654103
8.2,1965,201660
8.2,1975,454791
8.2,1960,140780
8.2,1927,140716
8.2,1997,487389
8.2,2011,192375
8.2,1989,624127
8.2,1950,131521
8.2,2009,830596
8.2,1950,105870
8.2,2005,1175478
8.2,1961,95112
8.2,1959,216563
8.2,2004,300709
8.2,1992,335946
8.2,1988,710907
8.2,1948,100279
8.2,1995,517398
8.2,2010,121167
8.2,2018,132537
8.2,1952,57633
8.2,1980,283649
8.2,1963,202547
8.2,1997,50122
8.2,2006,565200
8.2,1974,262496
8.2,2005,64450
8.2,1988,234090
8.2,1949,141474
8.2,2004,277747
8.2,1985,98250
8.2,1961,60790
8.2,2009,170448
8.2,1925,88191
8.2,1957,184085
8.2,2001,759861
8.2,2018,36545
8.2,1998,487980
8.2,1995,408394
8.2,1954,127092
8.2,1957,141243
8.1,2017,327619
8.1,2015,524059
8.1,1980,197964
8.1,2013,1015099
8.1,2015,306920
8.1,2005,941342
8.1,1939,97111
8.1,2011,399350
8.1,1982,618894
8.1,1954,138576
8.1,1957,82893
8.1,2007,755992
8.1,1926,70745
8.1,2007,457226
8.1,1996,582739
8.1,1999,833977
8.1,1939,260991
8.1,1982,325529
8.1,1996,554409
8.1,1985,42316
8.1,2008,662416
8.1,2003,854501
8.1,1978,281109
8.1,1998,654091
8.1,2010,988259
8.1,1924,32144
8.1,2003,892040
8.1,1967,146557
8.1,1953,42819
8.1,1940,109474
8.1,2009,149099
8.1,2016,356766
8.1,2010,599877
8.1,1997,25426
8.1,2014,748377
8.1,1993,771023
8.1,2014,147623
8.1,1927,42585
8.1,1998,825265
8.1,1979,95882
8.1,1993,139485
8.1,2007,518497
8.1,2014,623568
8.1,1986,329595
8.1,1934,83662
8.1,1986,347504
8.1,1979,329930
8.1,1976,129325
8.1,2003,98143
8.1,1996,54357
8.1,1966,85315
8.1,1959,198982
8.1,2013,568515
8.1,2004,310311
8.1,2004,579700
8.1,1966,37931
8.1,1995,234247
8.1,1953,47525
8.1,2013,386724
8.1,2015,765911
8.1,2013,516969
8.1,1928,39843
8.1,1959,90852
8.1,2009,219243
8.1,2015,357162
8.1,2017,541019
8.1,2000,205049
8.1,2002,703981
8.1,1987,353061
8.1,1984,126030
8.0,2011,680977
8.0,2006,99137
8.0,1969,184953
8.0,1976,465814
8.0,1975,130233
8.0,2001,727388
8.0,1940,79894
8.0,1989,361496
8.0,1941,138849
8.0,1984,719182
8.0,1982,205147
8.0,2001,690280
8.0,1995,130222
8.0,1955,55754
8.0,2016,74818
8.0,2000,103568
8.0,1993,534703
8.0,1939,348035
8.0,2011,387624
8.0,1957,38142
8.0,1975,503206
8.0,2004,204765
8.0,1984,72871
8.0,1986,125442
8.0,1946,52620
8.0,2014,916179
8.0,2003,953482
8.0,1991,383211
8.0,1973,327369
8.0,1988,136123
8.0,2013,32797
8.0,2014,36142
8.0,2015,53323
8.0,2014,42753
